Extend length in rubberband,Distance,Natural length,Extended length,Difference,,,,repeat experiment,,natural,extended,difference,,,,,,,,,,,,
,270,2.9,5,,,,,,248,2.9,5,313,,246,2.9,5,,,,,,,,
,207,3,5,,,,,,194,3,5,,,,,,,,,,,,,
,270,3,5,,,,,,275,3,5,,,,,,,,,,,,,
199,272,3.2,5,,,,,,215,3.2,5,,,217,,,,,,,,,,
,224,2.7,5,,,,,,214,2.8,5,,,,,,,,,,,,,
,293,2.6,5,,,,,,275,2.7,5,,,,,,,,,,,,,
,323,2.8,5,,,,,,314,2.8,5,,,,,,,,,,,,,
,291,2.7,5,,,,,,301,2.7,5,,,,,,,,,,,,,
,317,3.4,5,,,,,,324,3.4,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2nd set,,,,,,,,,,,,,,,,,,,,,,,,
,348,3,6,,,,,,344,3,6,,,,,,,,,,,,,
,277,3,6,,,,,,293,3,6,,,,,,,,,,,,,
,370,3,6,,,,,,398,3,6,,,,,,,,,,,,,
,321,3.4,6,,,,,,347,3.4,6,,,,,,,,,,,,,
,275,2.9,6,,,,,,294,2.8,6,,,,,,,,,,,,,
,358,2.7,6,,,,,,374,2.7,6,,,,,,,,,,,,,
,397,2.9,6,,,,,,397,3,6,,,,,,,,,,,,,
,374,2.8,6,,,,,,350,2.9,6,,,,,,,,,,,,,
,340,3.4,6,,,,,,355,3.4,6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
3rd set,,,,,,,,,,,,,,,,,,,,,,,,
,376,3,7,,,,,,378,3,7,,,,,,,,,,,,,
,298,3,7,,,,,,326,3.1,7,,,,,,,,,,,,,
,424,2.9,7,,,,,,412,2.9,7,,,,,,,,,,,,,
BAD,315,3.4,7,,,,,,280,3.2,7,,,,,,,,,,,,,
,325,2.7,7,,,,,,316,2.7,7,,,,,,,,,,,,,
,423,2.7,7,,,,,,380,2.8,7,,,,,,,,,,,,,
,414,2.9,7,,,,,,367,2.9,7,,,,,,,,,,,,,
,386,2.8,7,,,,,,376,2.9,7,,,,,,,,,,,,,
,352,3.5,7,,,,,,364,3.5,7,,,,,,,,,,,,,
4TH,,,,,,,,,,,,,,,,,,,,,,,,
,390,3.1,8,,,,,390,3,,8,,,,,,,,,,,,,
,399,3,8,,,,,420,3,,8,,,,,,,,,,,,,
,420,2.9,8,,,,,402,2.9,,8,,,,,,,,,,,,,
BAD ,303,3.4,8,,,,,323,3.4,,8,,,,,,,,,,,,,
,353,2.9,8,,,,,351,2.9,,8,,,,,,,,,,,,,
,414,2.8,8,,,,,427,2.8,,8,,,,,,,,,,,,,
,430,3,8,,,,,427,3,,8,,,,,,,,,,,,,
MAYBE BAD,450,2.8,8,,,,,452,2.9,,8,,,,,,,,,,,,,
MOTA DIK DHORE,390,3.5,8,,,,,376,3.5,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
5TH,,,,,,,,,,,,,,,,,,,,,,,,
,231,3,5.5,,,,,214,3,,5.5,,,,,,,,,,,,,
,267,3,5.5,,,,,275,3,,5.5,,,,,,,,,,,,,
,280,2.9,5.5,,,,,301,2.9,,5.5,,,,,,,,,,,,,
,201,3.4,5.5,,,,,194,3.4,,5.5,,,,,,,,,,,,,
,240,2.8,5.5,,,,,238,2.8,,5.5,,,,,,,,,,,,,
,265,2.9,5.5,,,,,301,2.9,,5.5,,,,,,,,,,,,,
,270,2.9,5.5,,,,,270,3,,5.5,,,,,,,,,,,,,
,249,3,5.5,,,,,265,2.95,,5.5,,,,,,,,,,,,,
,227,3.5,5.5,,,,,250,3.5,,5.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,corner =.3
6TH,,,,,,,,,,,,,,,,,,,,,,,,
,260,3,6.5,,,,,276,3,,6.5,,,,,,,,,,,,,
,277,3,6.5,,,,,270,3,,6.5,,,,,,,,,,,,,
,351,2.9,6.5,,,,,351,2.9,,6.5,,,,,,,,,,,,,
,223,3.4,6.5,,,,,216,3.4,,6.5,,,,,,,,,,,,,
,275,2.8,6.5,,,,,276,2.8,,6.5,,,,,,,,,,,,,
,290,2.9,6.5,,,,,276,2.9,,6.5,,,,,,,,,,,,,
,351,3,6.5,,,,,351,3,,6.5,,,,,,,,,,,,,
,323,3,6.5,,,,,320,3,,6.5,,,,,,,,,,,,,
THICK TO THE SCALE,326,3.5,6.5,,,,,326,3.5,,6.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
7TH,,,,,,,,,,,,,,,,,,,,,,,,
,105,3,4.5,,,,,141,3,,4.5,,,,,,,,,,,,,
,176,3,4.5,,,,,176,3,,4.5,,,,,,,,,,,,,
